Case ID,Activity,Complete Timestamp,Variant,Variant index
dataRequester85,Submit Purpose,2019/08/10 20:54:51.000,Variant 2,2
dataRequester85,Get Link,2019/08/10 20:55:07.000,Variant 2,2
dataRequester85,Update license compliance,2019/08/10 20:58:15.000,Variant 2,2
dataRequester61,Agree to License,2019/08/10 20:54:35.000,Variant 1,1
dataRequester61,Submit Purpose,2019/08/10 20:55:07.000,Variant 1,1
dataRequester61,Get Link,2019/08/10 20:55:37.000,Variant 1,1
dataRequester61,Update license compliance,2019/08/10 20:58:44.000,Variant 1,1
dataRequester61,Update license compliance,2019/08/10 21:00:10.000,Variant 1,1
dataRequester61,Confirm update,2019/08/10 21:02:19.000,Variant 1,1
dataRequester61,Update license compliance,2019/08/10 21:04:13.000,Variant 1,1
dataRequester90,Agree to License,2019/08/10 20:54:35.000,Variant 3,3
dataRequester90,Submit Purpose,2019/08/10 20:55:07.000,Variant 3,3
dataRequester90,Get Link,2019/08/10 20:55:37.000,Variant 3,3
dataRequester73,Agree to License,2019/08/10 20:54:35.000,Variant 1,1
dataRequester73,Submit Purpose,2019/08/10 20:55:07.000,Variant 1,1
dataRequester73,Get Link,2019/08/10 20:55:37.000,Variant 1,1
dataRequester73,Update license compliance,2019/08/10 20:58:15.000,Variant 1,1
dataRequester73,Update license compliance,2019/08/10 21:00:10.000,Variant 1,1
dataRequester73,Confirm update,2019/08/10 21:02:04.000,Variant 1,1
dataRequester73,Update license compliance,2019/08/10 21:04:28.000,Variant 1,1
dataRequester10,Agree to License,2019/08/10 20:54:35.000,Variant 1,1
dataRequester10,Submit Purpose,2019/08/10 20:55:07.000,Variant 1,1
dataRequester10,Get Link,2019/08/10 20:55:37.000,Variant 1,1
dataRequester10,Update license compliance,2019/08/10 20:58:44.000,Variant 1,1
dataRequester10,Update license compliance,2019/08/10 20:59:55.000,Variant 1,1
dataRequester10,Confirm update,2019/08/10 21:02:33.000,Variant 1,1
dataRequester10,Update license compliance,2019/08/10 21:04:28.000,Variant 1,1
dataRequester48,Agree to License,2019/08/10 20:54:35.000,Variant 1,1
dataRequester48,Submit Purpose,2019/08/10 20:55:07.000,Variant 1,1
dataRequester48,Get Link,2019/08/10 20:55:37.000,Variant 1,1
dataRequester48,Update license compliance,2019/08/10 20:58:44.000,Variant 1,1
dataRequester48,Update license compliance,2019/08/10 21:00:25.000,Variant 1,1
